Nombre de tarea;Valor planeado: PV (CPTP);Valor acumulado: VA (CPTP);AC (CRTR);VP;VC;CEF;CPF;VAF
software;$ 1.636.600,00 ;$ 1.302.600,00 ;$ 1.369.400,00 ;($ 334.000,00);($ 66.800,00);$ 2.352.559,04 ;$ 2.237.800,00 ;($ 114.759,04)
   Kick off;$ 0,00 ;$ 0,00 ;$ 0,00 ;$ 0,00 ;$ 0,00 ;$ 0,00 ;$ 0,00 ;$ 0,00 
   Analisis de requerimientos;$ 50.100,00 ;$ 50.100,00 ;$ 66.800,00 ;$ 0,00 ;($ 16.700,00);$ 66.800,00 ;$ 50.100,00 ;($ 16.700,00)
   I1;$ 567.800,00 ;$ 567.800,00 ;$ 617.900,00 ;$ 0,00 ;($ 50.100,00);$ 617.900,00 ;$ 567.800,00 ;($ 50.100,00)
      Configuracion workspace;$ 66.800,00 ;$ 66.800,00 ;$ 83.500,00 ;$ 0,00 ;($ 16.700,00);$ 83.500,00 ;$ 66.800,00 ;($ 16.700,00)
      Instalacion y config svn, mantis, dotproject;$ 116.900,00 ;$ 116.900,00 ;$ 116.900,00 ;$ 0,00 ;$ 0,00 ;$ 116.900,00 ;$ 116.900,00 ;$ 0,00 
      Información de usuario;$ 116.900,00 ;$ 116.900,00 ;$ 133.600,00 ;$ 0,00 ;($ 16.700,00);$ 133.600,00 ;$ 116.900,00 ;($ 16.700,00)
      Administrar subdistribuidores;$ 133.600,00 ;$ 133.600,00 ;$ 133.600,00 ;$ 0,00 ;$ 0,00 ;$ 133.600,00 ;$ 133.600,00 ;$ 0,00 
      Administrar puntos de venta;$ 50.100,00 ;$ 50.100,00 ;$ 66.800,00 ;$ 0,00 ;($ 16.700,00);$ 66.800,00 ;$ 50.100,00 ;($ 16.700,00)
      Asignacion plan de trabajo en dotproject;$ 50.100,00 ;$ 50.100,00 ;$ 50.100,00 ;$ 0,00 ;$ 0,00 ;$ 50.100,00 ;$ 50.100,00 ;$ 0,00 
      Entrega producto en alfa;$ 33.400,00 ;$ 33.400,00 ;$ 33.400,00 ;$ 0,00 ;$ 0,00 ;$ 33.400,00 ;$ 33.400,00 ;$ 0,00 
   I2;$ 1.018.700,00 ;$ 684.700,00 ;$ 684.700,00 ;($ 334.000,00);$ 0,00 ;$ 1.052.100,00 ;$ 1.052.100,00 ;$ 0,00 
      Ajustes producto en alfa;$ 116.900,00 ;$ 116.900,00 ;$ 116.900,00 ;$ 0,00 ;$ 0,00 ;$ 116.900,00 ;$ 116.900,00 ;$ 0,00 
      Administrar sistema;$ 66.800,00 ;$ 66.800,00 ;$ 66.800,00 ;$ 0,00 ;$ 0,00 ;$ 66.800,00 ;$ 66.800,00 ;$ 0,00 
      Ingreso al sistema;$ 116.900,00 ;$ 116.900,00 ;$ 116.900,00 ;$ 0,00 ;$ 0,00 ;$ 116.900,00 ;$ 116.900,00 ;$ 0,00 
      Administrar canales de distribución;$ 50.100,00 ;$ 50.100,00 ;$ 50.100,00 ;$ 0,00 ;$ 0,00 ;$ 50.100,00 ;$ 50.100,00 ;$ 0,00 
      Preparación e implementación de pruebas;$ 668.000,00 ;$ 334.000,00 ;$ 334.000,00 ;($ 334.000,00);$ 0,00 ;$ 668.000,00 ;$ 668.000,00 ;$ 0,00 
      Entrega producto en beta;$ 0,00 ;$ 0,00 ;$ 0,00 ;$ 0,00 ;$ 0,00 ;$ 33.400,00 ;$ 33.400,00 ;$ 0,00 
   I3;$ 0,00 ;$ 0,00 ;$ 0,00 ;$ 0,00 ;$ 0,00 ;$ 567.800,00 ;$ 567.800,00 ;$ 0,00 
      Ajustes producto en beta;$ 0,00 ;$ 0,00 ;$ 0,00 ;$ 0,00 ;$ 0,00 ;$ 116.900,00 ;$ 116.900,00 ;$ 0,00 
      Documentación;$ 0,00 ;$ 0,00 ;$ 0,00 ;$ 0,00 ;$ 0,00 ;$ 417.500,00 ;$ 417.500,00 ;$ 0,00 
      Entrega producto terminado;$ 0,00 ;$ 0,00 ;$ 0,00 ;$ 0,00 ;$ 0,00 ;$ 33.400,00 ;$ 33.400,00 ;$ 0,00 
